AWA,Theta,CX_rig,CY_rig,CK_rig,CN_rig,q,CX,CY,CK,CN,Drag,Lift
0,0,0,0,0,0,0,-0.742452979,,0,,0,0
5,0,0,0,0,0,0,-0.720084119,0.042296073,0.037810722,-0.000566409,0,0
10,0,0,0,0,0,0,-0.698948949,0.078867865,0.075814751,0.001248135,0,0
15,0,0,0,0,0,0,-0.733722359,0.111583718,0.162435678,0.004109301,0,0
20,0,0,0,0,0,0,-0.76137541,0.143584036,0.247342019,0.007112683,0,0
25,0,0,0,0,0,0,-0.70545326,0.190360828,0.294605421,0.004583238,0,0
30,0,0,0,0,0,0,-0.652428745,0.23938623,0.342767296,0.001630761,0,0
35,0,0,0,0,0,0,-0.641244314,0.280529496,0.408936059,-0.001321717,0,0
40,0,0,0,0,0,0,-0.628220813,0.321624251,0.474131476,-0.004274194,0,0
45,0,0,0,0,0,0,-0.580997664,0.36137283,0.521394879,-0.007072415,0,0
50,0,0,0,0,0,0,-0.531251591,0.401121409,0.569127221,-0.00986402,0,0
55,0,0,0,0,0,0,-0.46641981,0.432714345,0.624848284,-0.012655625,0,0
60,0,0,0,0,0,0,-0.403496717,0.464162934,0.679694519,-0.015440661,0,0
65,0,0,0,0,0,0,-0.371080827,0.469829717,0.69859988,-0.017939377,0,0
70,0,0,0,0,0,0,-0.338664936,0.474781095,0.717753503,-0.020438093,0,0
75,0,0,0,0,0,0,-0.292656293,0.483614112,0.745614035,-0.024385429,0,0
80,0,0,0,0,0,0,-0.245991606,0.49244713,0.773474567,-0.028377425,0,0
85,0,0,0,0,0,0,-0.190069455,0.487875656,0.754754417,-0.033487166,0,0
90,0,0,0,0,0,0,-0.135717614,0.483461819,0.735849057,-0.038654001,0,0
95,0,0,0,0,0,0,-0.168692399,0.487954474,0.745135901,-0.045604051,0,0
100,0,0,0,0,0,0,-0.201667184,0.49244713,0.754422744,-0.052616185,0,0
105,0,0,0,0,0,0,-0.136542793,0.483761329,0.736077759,-0.060453572,0,0
110,0,0,0,0,0,0,-0.068237881,0.475075529,0.716466218,-0.068306678,0,0
115,0,0,0,0,0,0,-0.001119541,0.455029803,0.65145831,-0.072910053,0,0
120,0,0,0,0,0,0,0.06598704,0.43390218,0.586450403,-0.077264957,0,0
125,0,0,0,0,0,0,0.144014629,0.412774557,0.540356394,-0.080679208,0,0
130,0,0,0,0,0,0,0.222305639,0.391389728,0.494722764,-0.084000745,0,0
135,0,0,0,0,0,0,0.267552035,0.36524638,0.472746331,-0.082234432,0,0
140,0,0,0,0,0,0,0.377073502,0.329305136,0.416026089,-0.080626781,0,0
145,0,0,0,0,0,0,0.403744262,0.284378581,0.352219331,-0.074224664,0,0
150,0,0,0,0,0,0,0.425727452,0.239452026,0.288332249,-0.067692308,0,0
155,0,0,0,0,0,0,0.448057707,0.192948856,0.223417559,-0.058586674,0,0
160,0,0,0,0,0,0,0.470426567,0.146605184,0.158409651,-0.049360182,0,0
165,0,0,0,0,0,0,0.483244608,0.105461918,0.116866781,-0.038874644,0,0
170,0,0,0,0,0,0,0.494835745,0.064824461,0.078368592,-0.028350292,0,0
175,0,0,0,0,0,0,0.46385201,0.033375872,0.030970078,-0.016766312,0,0
180,0,0,0,0,0,0,0.43029872,,-0.017152659,,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0
